,0,1,2
0,Mike Trout,0.445,0.42397666
1,Mookie Betts,0.442,0.40449375
2,J.D. Martinez,0.439,0.38042724
3,Tyler White,0.427,0.34504
4,Jose Ramirez,0.424,0.40141392
5,Steve Pearce,0.406,0.35677385
6,Paul Goldschmidt,0.405,0.38560808
7,Nolan Arenado,0.403,0.38733667
8,Aaron Judge,0.401,0.38785234
9,Matt Carpenter,0.397,0.4126231
10,Max Muncy,0.396,0.3984437
11,Freddie Freeman,0.391,0.37545133
12,Ronald Acuna,0.391,0.3742038
13,Juan Soto,0.391,0.3712926
14,Eugenio Suarez,0.39,0.39474604
15,Jesus Aguilar,0.39,0.37081346
16,Christian Yelich,0.388,0.359774
17,David Peralta,0.387,0.3704316
18,Alex Bregman,0.386,0.38770851
19,Manny Machado,0.385,0.3753
20,Brandon Nimmo,0.383,0.34377784
21,Francisco Lindor,0.383,0.38158196
22,Khris Davis,0.381,0.37999228
23,Shin-Soo Choo,0.38,0.3811316
24,Trevor Story,0.379,0.35129777
25,Justin Turner,0.379,0.35289833
26,Giancarlo Stanton,0.376,0.34675214
27,Jeff McNeil,0.374,0.35463843
28,Nelson Cruz,0.374,0.36566818
29,Bryce Harper,0.373,0.3925487
30,Andrew Benintendi,0.373,0.35081002
31,Javier Baez,0.372,0.31709716
32,Xander Bogaerts,0.372,0.3591428
33,Joey Votto,0.372,0.416097
34,Matt Chapman,0.37,0.3675475
35,Francisco Cervelli,0.369,0.37218365
36,Shohei Ohtani,0.369,0.36183023
37,Jose Altuve,0.368,0.35464936
38,Ben Zobrist,0.367,0.37969613
39,A.J. Pollock,0.367,0.36602148
40,Rhys Hoskins,0.366,0.35961705
41,Kris Bryant,0.366,0.34289885
42,Jesse Winker,0.365,0.40871063
43,Wilson Ramos,0.364,0.34663188
44,Lorenzo Cain,0.364,0.36118376
45,Ryan Zimmerman,0.363,0.37553552
46,Nick Markakis,0.363,0.37685764
47,Scooter Gennett,0.362,0.34897226
48,Daniel Descalso,0.362,0.37793925
49,Lourdes Gurriel,0.361,0.3031148
50,Miguel Cabrera,0.36,0.39285982
51,Jose Martinez,0.36,0.35866052
52,Aaron Hicks,0.36,0.3852111
53,Mitch Haniger,0.359,0.35140762
54,Nicholas Castellanos,0.359,0.36180744
55,Charlie Culberson,0.359,0.3083752
56,Anthony Rendon,0.359,0.36899322
57,Miguel Andujar,0.358,0.32594204
58,Matt Adams,0.358,0.34295496
59,Eduardo Escobar,0.357,0.3537325
60,J.T. Realmuto,0.356,0.34195632
61,Jed Lowrie,0.356,0.37561038
62,Justin Smoak,0.356,0.36107728
63,Michael Brantley,0.355,0.37158087
64,Justin Upton,0.355,0.3650176
65,Yasmani Grandal,0.355,0.36385527
66,Jorge Soler,0.354,0.33831832
67,Robinson Cano,0.354,0.38776606
68,Daniel Robertson,0.354,0.3369502
69,Scott Schebler,0.353,0.35119385
70,Mallex Smith,0.353,0.32425997
71,Tony Kemp,0.353,0.3455644
72,David Bote,0.352,0.35189605
73,Mark Reynolds,0.352,0.3528974
74,Anthony Rizzo,0.351,0.36551908
75,Whit Merrifield,0.351,0.3537026
76,Phillip Ervin,0.351,0.32414353
77,Omar Narvaez,0.35,0.32630387
78,Charlie Blackmon,0.35,0.335406
79,Travis Shaw,0.349,0.36794335
80,Joc Pederson,0.349,0.37753156
81,Rougned Odor,0.349,0.3659347
82,Carlos Gonzalez,0.348,0.3352759
83,David Dahl,0.348,0.3254612
84,Joey Gallo,0.347,0.36177322
85,Nick Martini,0.346,0.33631715
86,Gregory Polanco,0.345,0.34787962
87,Jose Abreu,0.345,0.34645703
88,Didi Gregorius,0.345,0.35287488
89,Yoenis Cespedes,0.344,0.2977129
90,Eddie Rosario,0.344,0.33949625
91,Johan Camargo,0.344,0.35164124
92,Elias Diaz,0.344,0.34674785
93,Matt Kemp,0.344,0.35358068
94,Brandon Belt,0.344,0.3606309
95,David Freese,0.344,0.33079737
96,Denard Span,0.344,0.34145722
97,Cody Bellinger,0.343,0.3483729
98,Corey Dickerson,0.343,0.31765795
99,Wil Myers,0.343,0.35528266
100,Gleyber Torres,0.343,0.33594698
101,Kyle Schwarber,0.342,0.3718701
102,Tyler Austin,0.342,0.3198075
103,Howie Kendrick,0.342,0.3333657
104,Harrison Bader,0.341,0.3105801
105,Kendrys Morales,0.341,0.38279855
106,C.J. Cron,0.34,0.32043496
107,Mitch Moreland,0.34,0.34896755
108,Willson Contreras,0.34,0.321242
109,Maikel Franco,0.34,0.30915296
110,Adam Eaton,0.339,0.3328168
111,Matt Davidson,0.339,0.33414137
112,Eric Thames,0.339,0.36772332
113,Nick Williams,0.339,0.3151268
114,Jurickson Profar,0.339,0.34733453
115,Edwin Encarnacion,0.338,0.37342387
116,Yasiel Puig,0.338,0.32971495
117,A.J. Ellis,0.337,0.3746539
118,Ian Happ,0.337,0.34837854
119,Ben Gamel,0.336,0.311605
120,Jedd Gyorko,0.336,0.36166856
121,Curtis Granderson,0.336,0.34820035
122,Ji-Man Choi,0.336,0.36550084
123,Daniel Murphy,0.335,0.32273167
124,Jean Segura,0.335,0.3080041
125,Austin Meadows,0.334,0.33381122
126,Hunter Renfroe,0.333,0.35038292
127,Yadier Molina,0.332,0.36807254
128,Andrew McCutchen,0.332,0.37690684
129,Adam Frazier,0.332,0.32645947
130,Wilmer Flores,0.332,0.35187358
131,Welington Castillo,0.332,0.31157443
132,Robinson Chirinos,0.332,0.34539396
133,Brian Anderson,0.332,0.35728192
134,Carlos Correa,0.332,0.32564786
135,Ozzie Albies,0.332,0.33413303
136,George Springer,0.332,0.3534148
137,Matt Olson,0.332,0.38159055
138,Derek Dietrich,0.332,0.3157556
139,Asdrubal Cabrera,0.33,0.35130233
140,Nomar Mazara,0.33,0.3411536
141,Andrelton Simmons,0.33,0.34421784
142,Starling Marte,0.33,0.32990235
143,Yairo Munoz,0.33,0.34615627
144,Ryan Braun,0.33,0.34265506
145,Max Kepler,0.329,0.37727597
146,Justin Bour,0.329,0.34751463
147,Carlos Santana,0.329,0.3895357
148,Mark Trumbo,0.328,0.33949396
149,Joey Wendle,0.328,0.33668518
150,Odubel Herrera,0.328,0.28049898
151,Stephen Piscotty,0.328,0.35916215
152,Teoscar Hernandez,0.328,0.32184598
153,Austin Slater,0.328,0.35901695
154,Jake Bauers,0.327,0.35010797
155,Albert Almora Jr.,0.327,0.30475715
156,Josh Bell,0.327,0.3338955
157,Michael Conforto,0.327,0.3565918
158,Mike Moustakas,0.326,0.36115307
159,Cesar Hernandez,0.326,0.32681206
160,Chad Pinder,0.325,0.37270847
161,Kurt Suzuki,0.325,0.3595084
162,Chris Taylor,0.325,0.33657932
163,Josh Donaldson,0.325,0.34405905
164,Jake Cave,0.325,0.32071856
165,Mitch Garver,0.325,0.344651
